# Power Monitoring Log
#---------------------------------------------------------------------------------------------------------
# Time(s)    | Label                | Type   | Power(W)   | Energy(J)       | Frequency(KHz)  | Voltage(V) 
#---------------------------------------------------------------------------------------------------------
  0.0062     | Run Loop             | INST   | 10.94      | 0.07            | 2866239.00      | 0.00      
  0.1541     | Run Loop             | INST   | 19.39      | 2.99            | 1000000.00      | 0.00      
  0.3023     | Run Loop             | INST   | 19.57      | 5.92            | 999999.00       | 0.00      
  0.4515     | Run Loop             | INST   | 19.61      | 8.85            | 999999.00       | 0.00      
  0.6013     | Run Loop             | INST   | 19.63      | 11.81           | 1000000.00      | 0.00      
  0.7505     | Run Loop             | INST   | 19.67      | 14.76           | 999999.00       | 0.00      
  0.9004     | Run Loop             | INST   | 19.68      | 17.72           | 1000002.00      | 0.00      
  1.0499     | Run Loop             | INST   | 19.69      | 20.68           | 999999.00       | 0.00      
  1.2004     | Run Loop             | INST   | 19.70      | 23.64           | 999999.00       | 0.00      
  1.3506     | Run Loop             | INST   | 19.70      | 26.61           | 1000000.00      | 0.00      
  1.6326     | Run Loop             | INST   | 19.71      | 32.18           | 999998.00       | 0.00      
  1.7826     | Run Loop             | INST   | 19.72      | 35.15           | 999999.00       | 0.00      
  1.9324     | Run Loop             | INST   | 19.73      | 38.13           | 999997.00       | 0.00      
  2.0830     | Run Loop             | INST   | 19.73      | 41.09           | 1000003.00      | 0.00      
  2.2339     | Run Loop             | INST   | 19.73      | 44.08           | 999998.00       | 0.00      
  2.3857     | Run Loop             | INST   | 19.73      | 47.06           | 999999.00       | 0.00      
  2.5379     | Run Loop             | INST   | 19.73      | 50.07           | 999999.00       | 0.00      
  2.6907     | Run Loop             | INST   | 19.73      | 53.09           | 999999.00       | 0.00      
  2.8432     | Run Loop             | INST   | 19.73      | 56.11           | 999999.00       | 0.00      
  2.9972     | Run Loop             | INST   | 19.73      | 59.13           | 999996.00       | 0.00      
  3.8735     | Run Loop             | INST   | 19.74      | 76.46           | 999999.00       | 0.00      
  4.2729     | Run Loop             | INST   | 19.75      | 84.38           | 1000002.00      | 0.00      
  4.4421     | Run Loop             | INST   | 19.75      | 87.72           | 999999.00       | 0.00      
  4.5772     | Run Loop             | INST   | 19.75      | 90.39           | 999999.00       | 0.00      
  4.7131     | Run Loop             | INST   | 19.74      | 93.05           | 999998.00       | 0.00      
  4.8577     | Run Loop             | INST   | 19.71      | 95.74           | 1000000.00      | 0.00      
  4.9938     | Run Loop             | INST   | 19.74      | 98.60           | 999998.00       | 0.00      
  5.1298     | Run Loop             | INST   | 19.75      | 101.29          | 1000000.00      | 0.00      
  5.2660     | Run Loop             | INST   | 19.75      | 103.99          | 1000000.00      | 0.00      
  5.4010     | Run Loop             | INST   | 19.75      | 106.67          | 1000000.00      | 0.00      
  5.6577     | Run Loop             | INST   | 19.75      | 111.72          | 999999.00       | 0.00      
  5.7932     | Run Loop             | INST   | 19.75      | 114.40          | 1000000.00      | 0.00      
  5.9286     | Run Loop             | INST   | 19.75      | 117.08          | 999998.00       | 0.00      
  6.0639     | Run Loop             | INST   | 19.75      | 119.75          | 999999.00       | 0.00      
  6.1989     | Run Loop             | INST   | 19.75      | 122.43          | 1000000.00      | 0.00      
  6.3338     | Run Loop             | INST   | 19.75      | 125.10          | 1000007.00      | 0.00      
  6.4806     | Run Loop             | INST   | 19.75      | 128.00          | 999999.00       | 0.00      
  6.6153     | Run Loop             | INST   | 19.75      | 130.66          | 999999.00       | 0.00      
  6.7506     | Run Loop             | INST   | 19.75      | 133.33          | 999998.00       | 0.00      
  6.8865     | Run Loop             | INST   | 19.75      | 136.00          | 999999.00       | 0.00      
  7.7191     | Run Loop             | INST   | 19.75      | 152.45          | 999999.00       | 0.00      
  7.8526     | Run Loop             | INST   | 19.75      | 155.09          | 999999.00       | 0.00      
  7.9855     | Run Loop             | INST   | 19.75      | 157.73          | 999999.00       | 0.00      
  8.1182     | Run Loop             | INST   | 19.75      | 160.35          | 999997.00       | 0.00      
  8.2508     | Run Loop             | INST   | 19.75      | 162.97          | 1000000.00      | 0.00      
  8.3846     | Run Loop             | INST   | 19.75      | 165.60          | 999999.00       | 0.00      
  8.5272     | Run Loop             | INST   | 19.73      | 168.25          | 999998.00       | 0.00      
  8.6699     | Run Loop             | INST   | 19.73      | 171.07          | 1000003.00      | 0.00      
  8.8117     | Run Loop             | INST   | 19.73      | 173.88          | 999999.00       | 0.00      
  8.9533     | Run Loop             | INST   | 19.73      | 176.67          | 999999.00       | 0.00      
  9.2144     | Run Loop             | INST   | 19.74      | 181.85          | 1000001.00      | 0.00      
  9.3477     | Run Loop             | INST   | 19.75      | 184.63          | 999999.00       | 0.00      
  9.4822     | Run Loop             | INST   | 19.75      | 187.29          | 1000000.00      | 0.00      
  9.6155     | Run Loop             | INST   | 19.75      | 189.93          | 999998.00       | 0.00      
  9.7491     | Run Loop             | INST   | 19.75      | 192.57          | 1000006.00      | 0.00      
  9.8823     | Run Loop             | INST   | 19.75      | 195.20          | 999998.00       | 0.00      
  10.0165    | Run Loop             | INST   | 19.75      | 197.85          | 999999.00       | 0.00      
  10.1497    | Run Loop             | INST   | 19.75      | 200.48          | 1000000.00      | 0.00      
  10.2832    | Run Loop             | INST   | 19.75      | 203.12          | 999999.00       | 0.00      
  10.4169    | Run Loop             | INST   | 19.75      | 205.76          | 1000000.00      | 0.00      
  11.2426    | Run Loop             | INST   | 19.75      | 222.07          | 1000000.00      | 0.00      
  11.3744    | Run Loop             | INST   | 19.75      | 224.70          | 1000002.00      | 0.00      
  11.5073    | Run Loop             | INST   | 19.75      | 227.31          | 999999.00       | 0.00      
  11.6402    | Run Loop             | INST   | 19.75      | 229.93          | 999997.00       | 0.00      
  11.7727    | Run Loop             | INST   | 19.75      | 232.55          | 1000003.00      | 0.00      
  11.9058    | Run Loop             | INST   | 19.75      | 235.18          | 999998.00       | 0.00      
  12.0394    | Run Loop             | INST   | 19.75      | 237.81          | 1000000.00      | 0.00      
  12.1734    | Run Loop             | INST   | 19.75      | 240.46          | 999999.00       | 0.00      
  12.3069    | Run Loop             | INST   | 19.75      | 243.09          | 999997.00       | 0.00      
  12.4403    | Run Loop             | INST   | 19.75      | 245.73          | 999999.00       | 0.00      
  12.6926    | Run Loop             | INST   | 19.75      | 250.72          | 999999.00       | 0.00      
  12.8339    | Run Loop             | INST   | 19.74      | 253.35          | 999999.00       | 0.00      
  12.9716    | Run Loop             | INST   | 19.75      | 256.15          | 1000000.00      | 0.00      
  13.1128    | Run Loop             | INST   | 19.74      | 258.87          | 999999.00       | 0.00      
  13.2554    | Run Loop             | INST   | 19.74      | 261.68          | 999997.00       | 0.00      
  13.3975    | Run Loop             | INST   | 19.74      | 264.49          | 999999.00       | 0.00      
  13.5304    | Run Loop             | INST   | 19.75      | 267.28          | 1000001.00      | 0.00      
  13.6631    | Run Loop             | INST   | 19.75      | 269.91          | 1000000.00      | 0.00      
  13.7967    | Run Loop             | INST   | 19.75      | 272.55          | 1000000.00      | 0.00      
  13.9296    | Run Loop             | INST   | 19.75      | 275.17          | 1000000.00      | 0.00      
  14.7577    | Run Loop             | INST   | 19.75      | 291.53          | 999999.00       | 0.00      
