# Power Monitoring Log
#---------------------------------------------------------------------------------------------------------
# Time(s)    | Label                | Type   | Power(W)   | Energy(J)       | Frequency(KHz)  | Voltage(V) 
#---------------------------------------------------------------------------------------------------------
  1.0652     | Run Loop             | INST   | 19.74      | 21.02           | 1953227.00      | 0.00      
  1.1555     | Run Loop             | INST   | 19.66      | 22.72           | 1999999.00      | 0.00      
  1.2451     | Run Loop             | INST   | 19.66      | 24.48           | 1999999.00      | 0.00      
  1.3349     | Run Loop             | INST   | 19.67      | 26.26           | 1999998.00      | 0.00      
  1.4251     | Run Loop             | INST   | 19.67      | 28.04           | 1999998.00      | 0.00      
  1.5111     | Run Loop             | INST   | 19.73      | 29.82           | 2000000.00      | 0.00      
  1.5970     | Run Loop             | INST   | 19.73      | 31.51           | 2000000.00      | 0.00      
  1.6827     | Run Loop             | INST   | 19.73      | 33.21           | 1999999.00      | 0.00      
  1.7686     | Run Loop             | INST   | 19.74      | 34.90           | 1999999.00      | 0.00      
  1.8544     | Run Loop             | INST   | 19.74      | 36.60           | 1999999.00      | 0.00      
  2.0076     | Run Loop             | INST   | 19.74      | 39.63           | 2000003.00      | 0.00      
  2.0933     | Run Loop             | INST   | 19.74      | 41.32           | 1999995.00      | 0.00      
  2.1798     | Run Loop             | INST   | 19.74      | 43.03           | 2000000.00      | 0.00      
  2.2662     | Run Loop             | INST   | 19.74      | 44.74           | 1999998.00      | 0.00      
  2.3530     | Run Loop             | INST   | 19.74      | 46.45           | 1999999.00      | 0.00      
  2.4403     | Run Loop             | INST   | 19.74      | 48.18           | 2000000.00      | 0.00      
  2.5267     | Run Loop             | INST   | 19.75      | 49.89           | 1999999.00      | 0.00      
  2.6145     | Run Loop             | INST   | 19.74      | 51.62           | 2000001.00      | 0.00      
  2.7019     | Run Loop             | INST   | 19.74      | 53.34           | 2000000.00      | 0.00      
  2.7888     | Run Loop             | INST   | 19.75      | 55.07           | 1999999.00      | 0.00      
  3.2431     | Run Loop             | INST   | 19.75      | 64.04           | 2000003.00      | 0.00      
  3.3218     | Run Loop             | INST   | 19.75      | 65.60           | 2000000.00      | 0.00      
  3.4008     | Run Loop             | INST   | 19.75      | 67.16           | 2000000.00      | 0.00      
  3.4797     | Run Loop             | INST   | 19.75      | 68.72           | 2000000.00      | 0.00      
  3.5587     | Run Loop             | INST   | 19.75      | 70.28           | 2000000.00      | 0.00      
  3.6375     | Run Loop             | INST   | 19.75      | 71.83           | 1999999.00      | 0.00      
  3.7162     | Run Loop             | INST   | 19.75      | 73.39           | 2000000.00      | 0.00      
